DateOfMeet,MeetName,Location
25-Sep,Charlotte Cross Country Invitational,"Charlotte, NC"
25-Sep,Raleigh Charter Home Meet,"Cary, NC"
25-Sep,Washington Home Meet,"Washington, NC"
26-Sep,Greensboro Cross Country Invitational Entries Closed,"Pleasant Garden, NC"
26-Sep,Bo Run Entries Closed,"Greenville, NC"
26-Sep,High Country CC Classic Entries Closed,"Boone, NC"
26-Sep,Saucony-We've Got CLASS Invitational,"Holly Springs, NC"
28-Sep,Riverside (1A) vs. Southwest Edgecombe,"Williamston, NC"
28-Sep,WCDS Home Meet,"High Point, NC"
29-Sep,Broughton at Wakefield,"Raleigh, NC"
29-Sep,CCC Meet at Central Davidson,"Thomasville, NC"
29-Sep,Conference @ Reidsville City Lake,"Reidsville, NC"
29-Sep,East Duplin Home Meet 2,"Beulaville, NC"
29-Sep,Lexington Home Meet (Finch Park),"Lexington, NC"
29-Sep,Orange/ Chapel Hill,"Hillborough, NC"
29-Sep,Princeton Home Meet,"Princeton, NC"
29-Sep,"SEC Meet # 4 Hoke, Pine, Rich","Raeford, NC"
30-Sep,3A Two Rivers Tri Meet #4,"Four Oaks, NC"
30-Sep,All Metro Meet 2,"Graham, NC"
30-Sep,Cape Fear Valley Regular Season Meet,"Cameron, NC"
30-Sep,Central Tar Heel Meet @ West Montgomery,"Mount Gilead, NC"
30-Sep,CISAA Regular Season Meet,"Charlotte, NC"
30-Sep,Eastern Alamance/Northern Guilford/McMichael CC Meet Entries Closed,"Burlington, NC"
30-Sep,ECC meet host by South Central,"Greenville, NC"
30-Sep,Fisher River XC Mile Relay,"Dobson, NC"
30-Sep,Goldsboro Home Meet #3,"--, NC"
30-Sep,Leesville Road Home Meet,"Raleigh, NC"
30-Sep,Manteo Home Meet #2 - Coastal 10 1A Conference,"Manteo, NC"
30-Sep,Northeastern Coastal Conference Meet #4 at Northeastern,"Elizabeth City, NC"
30-Sep,Piedmont Triad Conference,"Kernersville, NC"
30-Sep,Ragsdale vs HP Central,"Kernersville, NC"
30-Sep,South Central / JHR / DHC / ECC,"Winterville, NC"
30-Sep,SWAC Meet,"Cary, NC"
30-Sep,Tar Roanoke Athletic Conference Meet #4,"Halifax, NC"
30-Sep,Tarboro & South Creek & North Edgecombe & Riverside & Rocky Moun,"Tarboro, NC"
30-Sep,Trinity HS Home Meet,"Archdale, NC"
1-Oct,Catawba County Cross Country Championship,"Catawba, NC"
1-Oct,Kerr-Vance Invite,"Henderson, NC"
1-Oct,Metrolina Christian Meet No. 2,"Indian Trail, NC"
1-Oct,St. Davids Home Meet,"Wendell, NC"
1-Oct,Unity Christian Academy XC Invitational,"Chocowinity, NC"
2-Oct,A.C. Reynolds Wendy's Replacement Track Event,"Asheville, NC"
3-Oct,CANCELLED Great American Cross Country Festival,"Cary, NC"
3-Oct,CANCELLED Wendy's Invitational,"Charlotte, NC"
3-Oct,Hagan Stone XC Classic Entries Closed,"Kernersville, NC"
3-Oct,Mt. Tabor/Reagan Dual 2 Mile,"Winston-Salem, NC"
6-Oct,Cabarrus County Championships,"Concord, NC"
6-Oct,Cedar Ridge Home Meet #2,"Hillsborough, NC"
6-Oct,Central Davidson Home Meet,"Lexington, NC"
6-Oct,Durham City-County Meet,"Durham, NC"
6-Oct,East Lincoln Home Meet,"Denver, NC"
6-Oct,East Montgomery Home Meet,"Biscoe, NC"
6-Oct,Granville County XC Championship,"Oxford, NC"
6-Oct,Lexington Home Meet II (Finch Park),"Lexington, NC"
6-Oct,Richmond Senior Home Meet SEC #4,"Rockingham, NC"
6-Oct,"SEC Meet# 5 Pine, Scot, Swett","Southern Pines, NC"
6-Oct,West Iredell High Home Meet,"Statesville, NC"
6-Oct,"Williams, Morehead & NG Tri-Meet","Greensboro, NC"
7-Oct,3A Two Rivers Tri Meet #5,"Wendell, NC"
7-Oct,Burke County Championships,"Morganton, NC"
7-Oct,Cape Fear Valley Regular Season Meet,"Hope Mills, NC"
